"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2017",2,"Baja California","Otros delitos que atentan contra la libertad personal",574
"2017",2,"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual",262
"2017",2,"Baja California","Otros delitos que atentan contra la vida y la integridad corporal",845
"2017",2,"Baja California","Rapto",0
"2017",2,"Baja California","Robo",51385
"2017",2,"Baja California","Secuestro",13
"2017",2,"Baja California","Trafico de menores",5
"2017",2,"Baja California","Trata de personas",18
"2017",2,"Baja California","Violacion equiparada",349
"2017",2,"Baja California","Violacion simple",667
"2017",2,"Baja California","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2017",2,"Baja California","Violencia familiar",8554
"2018",2,"Baja California","Aborto",63
"2018",2,"Baja California","Abuso de confianza",560
"2018",2,"Baja California","Abuso sexual",1298
"2018",2,"Baja California","Acoso sexual",0
"2018",2,"Baja California","Allanamiento de morada",2623
"2018",2,"Baja California","Amenazas",3340
"2018",2,"Baja California","Contra el medio ambiente",41
"2018",2,"Baja California","Corrupcion de menores",246
"2018",2,"Baja California","Daño a la propiedad",7203
"2018",2,"Baja California","Delitos cometidos por servidores publicos",1246
"2018",2,"Baja California","Despojo",1128
"2018",2,"Baja California","Electorales",5
"2018",2,"Baja California","Evasion de presos",9
"2018",2,"Baja California","Extorsion",135
"2018",2,"Baja California","Falsedad",123
"2018",2,"Baja California","Falsificacion",316
"2018",2,"Baja California","Feminicidio",27
"2018",2,"Baja California","Fraude",1667
"2018",2,"Baja California","Homicidio",3169
"2018",2,"Baja California","Hostigamiento sexual",107
"2018",2,"Baja California","Incesto",2
"2018",2,"Baja California","Incumplimiento de obligaciones de asistencia familiar",1012
"2018",2,"Baja California","Lesiones",9809
"2018",2,"Baja California","Narcomenudeo",7855
"2018",2,"Baja California","Otros delitos contra el patrimonio",797
"2018",2,"Baja California","Otros delitos contra la familia",416
"2018",2,"Baja California","Otros delitos contra la sociedad",52
"2018",2,"Baja California","Otros delitos del Fuero Comun",6259
"2018",2,"Baja California","Otros delitos que atentan contra la libertad personal",620
"2018",2,"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual",263
"2018",2,"Baja California","Otros delitos que atentan contra la vida y la integridad corporal",1027
"2018",2,"Baja California","Rapto",0
"2018",2,"Baja California","Robo",40705
"2018",2,"Baja California","Secuestro",15
"2018",2,"Baja California","Trafico de menores",3
"2018",2,"Baja California","Trata de personas",20
"2018",2,"Baja California","Violacion equiparada",320
"2018",2,"Baja California","Violacion simple",643
"2018",2,"Baja California","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2018",2,"Baja California","Violencia familiar",9904
"2019",2,"Baja California","Aborto",57
"2019",2,"Baja California","Abuso de confianza",637
"2019",2,"Baja California","Abuso sexual",1384
"2019",2,"Baja California","Acoso sexual",0
"2019",2,"Baja California","Allanamiento de morada",2938
"2019",2,"Baja California","Amenazas",3871
"2019",2,"Baja California","Contra el medio ambiente",45
"2019",2,"Baja California","Corrupcion de menores",275
"2019",2,"Baja California","Daño a la propiedad",7872
"2019",2,"Baja California","Delitos cometidos por servidores publicos",1286
"2019",2,"Baja California","Despojo",1199
"2019",2,"Baja California","Electorales",39
"2019",2,"Baja California","Evasion de presos",6
"2019",2,"Baja California","Extorsion",218
"2019",2,"Baja California","Falsedad",137
"2019",2,"Baja California","Falsificacion",480
"2019",2,"Baja California","Feminicidio",23
